doctor_id,npi,dea_number,first_name,last_name,full_name,specialty,hospital_affiliation,address,city,state,zip_code,phone,email,license_number,license_state,license_expiry,years_of_practice,is_active,fraud_flag,created_at
DOC100010,2474687234,GB9805009,Daniel,Landry,Dr. Daniel Landry,Oncology,"Mckee, Gardner and Davenport",2045 Rachel Fords,Lake Curtis,CA,73886,(392)832-2602x56342,daniel.landry@kaiserhealth.org,NC30635,CA,16-03-2031,37,TRUE,FALSE,28-10-2021
DOC100011,1191361939,VB9169985,Michele,Walker,Dr. Michele Walker,Pulmonology,Bailey-Hoover,03654 Tammy Harbors,Darlenefurt,FL,89566,-4103,michele.walker@kaiserhealth.org,PA41285,IL,19-12-2028,30,TRUE,FALSE,29-02-2024
DOC100012,2751079911,TG8425135,Samuel,Joyce,Dr. Samuel Joyce,Pulmonology,Cruz PLC,0608 Michael Cliff,Cindyville,TX,94840,684-865-6482x3662,samuel.joyce@kaiserhealth.org,GA81200,IL,29-10-2029,38,TRUE,FALSE,01-07-2021
DOC100013,2124118244,VG5348740,Kevin,Clark,Dr. Kevin Clark,Cardiology,"Lawson, Morris and Ramos",721 Robertson Roads,Clarencebury,OH,88685,533-820-0379x1769,kevin.clark@kaiserhealth.org,IL15778,CA,06-08-2029,26,TRUE,FALSE,22-11-2024
DOC100014,2278680112,TB5982620,John,Douglas,Dr. John Douglas,Oncology,Stafford Medical Center,28708 Samantha Crossing Suite 278,Stephaniemouth,CA,80802,001-586-687-2774x3487,john.douglas@kaiserhealth.org,CA56898,FL,14-05-2029,20,TRUE,FALSE,25-02-2022
DOC100015,2869232260,FL6342160,Jennifer,Young,Dr. Jennifer Young,Oncology,Flores-Fernandez,36231 Russell Plains,Perryborough,CA,55570,(590)996-7054x6688,jennifer.young@kaiserhealth.org,FL70332,PA,05-06-2028,24,TRUE,FALSE,25-10-2023
DOC100016,1303654145,WS6850142,Ryan,Johnson,Dr. Ryan Johnson,Oncology,Caldwell-Yates,2980 Vargas Shore,North Dawnberg,IL,61016,(804)665-3755,ryan.johnson@kaiserhealth.org,CA24208,MI,11-09-2030,32,TRUE,FALSE,29-01-2025
DOC100017,2698169340,YP0883561,Johnny,Miller,Dr. Johnny Miller,Rheumatology,Curry Medical Center,10033 Christine Garden Apt. 719,South Holly,MI,48852,(699)812-4190,johnny.miller@kaiserhealth.org,PA96951,NY,08-03-2029,24,TRUE,FALSE,08-03-2023
DOC100018,2564823662,VU4680443,Charles,Vaughn,Dr. Charles Vaughn,Infectious Disease,"Sanchez, Terry and Turner",058 Stanley Cliff,Alexanderchester,MI,64752,965-972-6284,charles.vaughn@kaiserhealth.org,MI95813,PA,07-05-2029,34,TRUE,FALSE,11-10-2023
DOC100019,1872148951,HX4332003,Marcus,Sanchez,Dr. Marcus Sanchez,Hematology,Ramirez Group,9965 Troy Islands,South Jason,MI,34363,949-948-0831x36783,marcus.sanchez@kaiserhealth.org,NY69692,OH,27-05-2029,17,TRUE,FALSE,22-08-2021
DOC100020,2763201632,YS7083172,Christopher,Walker,Dr. Christopher Walker,Hematology,"Sanchez, Beck and Wood",8557 Parker Fort Apt. 351,East Javier,NC,63965,298-494-1343x524,christopher.walker@kaiserhealth.org,NC88047,PA,30-08-2028,33,TRUE,FALSE,18-11-2021
DOC100021,2872774348,RW3471434,Terri,Tran,Dr. Terri Tran,Rheumatology,"Raymond, Little and Mullins",94777 Lopez Center,Shelleyfort,CA,15454,667-319-0229,terri.tran@kaiserhealth.org,NC20561,TX,20-07-2028,14,TRUE,FALSE,03-07-2022
DOC100022,1316658760,GP6909670,Angela,Butler,Dr. Angela Butler,Rheumatology,"Gibbs, Perez and Mills",4964 Chelsea Streets Apt. 334,East Johnside,IL,10339,(606)679-7403,angela.butler@kaiserhealth.org,OH64921,NC,27-06-2030,39,TRUE,FALSE,10-05-2025
DOC100023,1734670656,FQ2980699,Charles,Hall,Dr. Charles Hall,Oncology,French-Weber,1832 Serrano Cliffs,East Laurashire,NY,38329,217.846.4887x719,charles.hall@kaiserhealth.org,OH27786,GA,15-08-2030,16,TRUE,FALSE,27-03-2024
DOC100024,2537556464,CR0805310,Cassandra,Johnson,Dr. Cassandra Johnson,Oncology,Hayden PLC,490 Thomas Run,Moonburgh,FL,77221,(871)275-6551x25674,cassandra.johnson@kaiserhealth.org,FL12671,MI,06-06-2029,14,TRUE,FALSE,30-03-2022
DOC100025,2193745299,YD2419049,Leonard,Morris,Dr. Leonard Morris,Infectious Disease,Hancock-Bryan,876 Jacob Lake,Garrettton,OH,27181,282-847-7109x324,leonard.morris@kaiserhealth.org,FL19961,MI,22-11-2027,20,TRUE,FALSE,29-05-2023
DOC100026,2919058651,SW5067165,Victoria,Durham,Dr. Victoria Durham,Oncology,Valentine-Holland,4846 Baird Gardens,Arnoldfurt,CA,25484,+1-982-414-6584x044,victoria.durham@kaiserhealth.org,OH33086,NC,24-05-2029,22,TRUE,FALSE,28-01-2026
DOC100027,2769453147,HQ9965075,Todd,Cook,Dr. Todd Cook,Oncology,"Bennett, Cantu and Kane",636 Louis Mountains,Hughesberg,GA,65424,9282951718,todd.cook@kaiserhealth.org,FL56507,IL,27-07-2030,26,TRUE,FALSE,20-09-2022
DOC100028,2808313678,HY7770143,Robert,Pena,Dr. Robert Pena,Infectious Disease,Jones Hospital,615 Finley Road Suite 809,East Crystalport,FL,30318,001-716-711-7240x0504,robert.pena@kaiserhealth.org,IL97026,MI,30-04-2029,28,TRUE,FALSE,25-09-2022
DOC100029,2685574443,DG5182337,John,Jenkins,Dr. John Jenkins,Oncology,"Sparks, Jackson and Miller",379 Jesse Route Suite 740,Santanaside,CA,21207,575-894-6474,john.jenkins@kaiserhealth.org,NC88222,IL,15-02-2031,11,TRUE,FALSE,09-08-2025
DOC100030,2352408240,BT4271094,Daniel,James,Dr. Daniel James,Hematology,Andrews-Haney,64090 Wall Heights Apt. 953,New John,GA,99536,001-821-404-7095x2145,daniel.james@kaiserhealth.org,GA54657,TX,07-05-2028,8,TRUE,FALSE,14-08-2022
DOC100031,2116719022,UK1318699,Kristin,Walter,Dr. Kristin Walter,Nephrology,Schmidt-Mcintyre,7451 Mccarty Divide,Port Erica,CA,88896,(885)716-0481x7549,kristin.walter@kaiserhealth.org,NC59856,GA,16-12-2027,33,TRUE,FALSE,26-06-2023
DOC100032,2499091334,XC2328120,Thomas,Harvey,Dr. Thomas Harvey,Infectious Disease,"Murphy, Bishop and Holland",461 Brandon Camp Suite 711,New Derek,CA,59960,(786)592-6179x640,thomas.harvey@kaiserhealth.org,MI71592,IL,19-05-2029,7,TRUE,FALSE,11-04-2025
DOC100033,2713493618,HW2421024,Stephanie,Foley,Dr. Stephanie Foley,Nephrology,Pollard Hospital,64317 Elizabeth Row Apt. 053,Port Anne,MI,9493,001-683-493-3529x04228,stephanie.foley@kaiserhealth.org,IL67560,NY,18-12-2027,34,TRUE,FALSE,18-09-2021
DOC100034,2488771906,LV4013990,David,Howard,Dr. David Howard,Oncology,Chapman Medical Center,0268 Julie Mountains,Stricklandhaven,MI,78313,278-239-0847,david.howard@kaiserhealth.org,CA32962,GA,14-07-2029,38,TRUE,FALSE,28-11-2024
DOC100035,2296717565,LX1256746,Ronald,Rodriguez,Dr. Ronald Rodriguez,Gastroenterology,"Browning, Jones and Miller",24998 James Ranch,Shawnchester,CA,13500,001-318-736-7365x766,ronald.rodriguez@kaiserhealth.org,GA21542,PA,23-04-2029,21,TRUE,FALSE,25-02-2024
DOC100036,2808760385,VR7034824,Elizabeth,Brooks,Dr. Elizabeth Brooks,Hematology,Mcdaniel Group,11615 Angela Radial,Elizabethchester,GA,46847,+1-360-749-4519x83273,elizabeth.brooks@kaiserhealth.org,NY13783,MI,03-02-2031,20,TRUE,FALSE,24-03-2026
DOC100037,2808613171,WE7484677,Michael,Farmer,Dr. Michael Farmer,Neurology,"Perez, Patterson and Hoffman",402 Park Inlet,Michaelburgh,CA,19277,001-861-920-1836,michael.farmer@kaiserhealth.org,NC28958,OH,11-12-2028,17,FALSE,FALSE,01-11-2022
DOC100038,1146584044,UU7278755,Mitchell,Griffith,Dr. Mitchell Griffith,Gastroenterology,"Carlson, Ware and Moore",147 Tucker Mills,Nelsonhaven,NC,15419,(261)249-7840x369,mitchell.griffith@kaiserhealth.org,OH69682,PA,13-05-2028,17,FALSE,FALSE,22-01-2024
DOC100039,1963605766,XW2702895,Sierra,Saunders,Dr. Sierra Saunders,Cardiology,Roberts-Wilson,622 Patel Forks Suite 160,Smithland,GA,41534,001-769-466-4160,sierra.saunders@kaiserhealth.org,NY78937,GA,26-11-2030,5,TRUE,FALSE,29-05-2025
DOC100040,2217459615,XT6578091,Marilyn,Gillespie,Dr. Marilyn Gillespie,Neurology,Kim Medical Center,9681 Harrell Summit,Jeffreyburgh,CA,10512,418.383.5523x12432,marilyn.gillespie@kaiserhealth.org,FL21846,OH,01-04-2028,11,TRUE,FALSE,12-09-2025
DOC100041,1724005045,MP2386922,Steven,Elliott,Dr. Steven Elliott,Endocrinology,"Cole, Glass and Cunningham",527 Taylor Roads Suite 490,Williamport,NY,61022,200.954.1199x867,steven.elliott@kaiserhealth.org,MI60140,MI,13-05-2031,20,TRUE,FALSE,11-05-2026
DOC100042,1374740748,FC7594647,Denise,Morris,Dr. Denise Morris,Oncology,Mason-Rosario,51820 Jasmine Mill Apt. 554,Ortizmouth,CA,89485,+1-705-315-1864x492,denise.morris@kaiserhealth.org,OH73335,NY,22-12-2029,20,TRUE,FALSE,12-09-2022
DOC100043,2944064090,VR4395339,Sabrina,Collins,Dr. Sabrina Collins,Pulmonology,"Hale, Myers and Larson",8652 Debbie Manors,Andrewport,TX,24128,357.233.2214,sabrina.collins@kaiserhealth.org,NY92242,CA,24-04-2030,24,TRUE,FALSE,11-05-2024
DOC100044,1952145623,ET5884247,Nancy,Williamson,Dr. Nancy Williamson,Pulmonology,"Bennett, Martin and Guerra",706 Rhodes Freeway,Bishopmouth,PA,31172,-7483,nancy.williamson@kaiserhealth.org,NY71385,NY,20-08-2029,14,TRUE,FALSE,24-12-2025
DOC100045,1685160481,QM4965137,Robert,Martin,Dr. Robert Martin,Oncology,Solis and Sons,75818 Justin Track Apt. 478,Port Samuel,MI,29603,550.260.6853x615,robert.martin@kaiserhealth.org,NC52992,MI,07-11-2028,19,TRUE,FALSE,03-05-2022
DOC100046,2461200471,DH8267586,Mary,Santos,Dr. Mary Santos,Nephrology,Taylor Hospital,277 Rebecca Brook Suite 328,Rodriguezport,TX,31648,510-436-9711x7980,mary.santos@kaiserhealth.org,OH95841,NY,25-09-2028,36,TRUE,FALSE,22-02-2025
DOC100047,2053773515,TW5064317,Aaron,Gomez,Dr. Aaron Gomez,Cardiology,"Butler, Beck and Miller",88888 Peter Mountains Apt. 654,West Kristinastad,FL,32105,001-419-352-0585x2772,aaron.gomez@kaiserhealth.org,MI12799,CA,17-07-2030,26,TRUE,FALSE,21-05-2025
DOC100048,1931839335,EV0422842,Benjamin,Harris,Dr. Benjamin Harris,Cardiology,Blackwell Hospital,687 Johnson Rue Apt. 450,Joshuastad,CA,57773,(876)452-7758x4161,benjamin.harris@kaiserhealth.org,TX11947,PA,25-10-2029,20,TRUE,FALSE,29-12-2023
DOC100049,1240268117,QM8917839,Manuel,Miller,Dr. Manuel Miller,Oncology,"Phillips, Griffin and Robbins",757 Jessica Knoll,Hillton,CA,10336,+1-765-882-0297x02135,manuel.miller@kaiserhealth.org,IL70036,CA,28-11-2029,8,FALSE,FALSE,08-10-2021
DOC100050,2617711592,CE4998569,Cassie,Shelton,Dr. Cassie Shelton,Oncology,Watson-Hines,565 Wright Crescent,Lake Jacobhaven,IL,51224,-4807,cassie.shelton@kaiserhealth.org,GA76263,MI,27-01-2028,32,TRUE,FALSE,15-02-2022
DOC100051,1836736576,PD5654527,Shannon,Roach,Dr. Shannon Roach,Cardiology,Osborn-Cochran,518 Vance Vista Apt. 258,North Tracie,NY,18703,470.358.9578,shannon.roach@kaiserhealth.org,NY22219,OH,11-10-2027,11,TRUE,FALSE,15-02-2024
DOC100052,2280988516,MX6049451,Raymond,Love,Dr. Raymond Love,Oncology,Fox-Hammond,51778 Anderson Village,Port Tammy,NC,57205,601.582.4225x35841,raymond.love@kaiserhealth.org,FL30280,GA,13-03-2030,19,TRUE,FALSE,07-03-2026
DOC100053,2851493689,VX8094024,Joshua,Weber,Dr. Joshua Weber,Oncology,"Ferguson, Shaw and Jackson",99590 Christopher Row,Debrashire,PA,55103,+1-207-484-4736x471,joshua.weber@kaiserhealth.org,PA10800,TX,13-05-2029,14,TRUE,FALSE,11-01-2025
DOC100054,2120183667,LF5459910,Todd,Harris,Dr. Todd Harris,Endocrinology,"Thomas, Hensley and Flores",2588 Luis Mountain Apt. 473,North Brent,TX,50852,+1-963-625-9532x787,todd.harris@kaiserhealth.org,MI16522,NY,11-08-2029,22,TRUE,FALSE,10-09-2021
DOC100055,2797643815,PD4978403,Christopher,Long,Dr. Christopher Long,Infectious Disease,Levy-Lewis,04797 Herrera Vista Apt. 624,Kathrynstad,MI,6431,(609)383-5841x6878,christopher.long@kaiserhealth.org,CA11007,FL,16-01-2028,24,FALSE,FALSE,26-04-2022
DOC100056,1445107622,NT3885160,Phillip,Norton,Dr. Phillip Norton,Infectious Disease,Grant-Diaz,98680 Benjamin Station,Lindahaven,CA,60399,(698)725-9526,phillip.norton@kaiserhealth.org,GA20205,PA,27-08-2029,32,TRUE,FALSE,30-10-2025
DOC100057,2416052975,CP1369681,Amanda,Erickson,Dr. Amanda Erickson,Oncology,Wells-Smith,169 Robles Stream Apt. 974,Lake Brett,CA,63474,(589)262-3091,amanda.erickson@kaiserhealth.org,PA39041,PA,16-05-2029,15,TRUE,FALSE,29-02-2024
DOC100058,1883552312,JG2921277,Robert,Gutierrez,Dr. Robert Gutierrez,Nephrology,Jenkins PLC,028 Ann Shore Suite 865,South Rhonda,CA,45370,-4598,robert.gutierrez@kaiserhealth.org,GA99277,MI,05-10-2028,25,TRUE,FALSE,14-12-2023
DOC100059,2271774490,MS1477005,Janet,Vaughn,Dr. Janet Vaughn,Pulmonology,Stewart-Bailey,1986 Cardenas Trail Apt. 404,West Sandraview,NY,98456,233.584.8421x9933,janet.vaughn@kaiserhealth.org,NY90610,MI,18-03-2030,37,TRUE,FALSE,23-06-2023
DOC100060,1793597820,QD5182037,Brian,Gutierrez,Dr. Brian Gutierrez,Hematology,"Kennedy, Maldonado and Taylor",7734 Mitchell Circle,Lake Audreyside,NC,97322,001-302-762-0672x4004,brian.gutierrez@kaiserhealth.org,NC89928,TX,15-09-2028,28,TRUE,FALSE,11-05-2025
DOC100061,2665905151,TX6449251,Veronica,Daniels,Dr. Veronica Daniels,Nephrology,Small-Anderson,3152 Wong Stravenue Apt. 054,East Cheryl,TX,84220,(668)851-6122x7530,veronica.daniels@kaiserhealth.org,PA50662,OH,30-06-2028,13,TRUE,FALSE,17-04-2025
DOC100062,1486528168,MA5423573,Karen,Finley,Dr. Karen Finley,Neurology,Aguilar-Berry,530 Steven Estate Suite 841,Michaelbury,TX,29222,(572)579-5687,karen.finley@kaiserhealth.org,TX20114,IL,22-05-2030,11,TRUE,FALSE,11-03-2022
DOC100063,1592962229,FQ0653794,Alicia,Rice,Dr. Alicia Rice,Hematology,Miller-Elliott,839 Franklin Walk,Wilsonborough,FL,94468,001-871-987-0728,alicia.rice@kaiserhealth.org,NC41348,IL,23-11-2029,35,FALSE,FALSE,26-12-2021
DOC100064,1597746886,FG9240758,Angelica,Chambers,Dr. Angelica Chambers,Cardiology,Cummings-Foster,391 Rodney Squares,New Virginialand,NC,62376,8468226567,angelica.chambers@kaiserhealth.org,NY47363,NY,02-11-2027,15,TRUE,FALSE,30-01-2026
DOC100065,1613750606,SM3615305,Dean,Dalton,Dr. Dean Dalton,Oncology,White PLC,230 Tiffany Mountain Suite 863,South Michael,PA,36630,310.269.0331,dean.dalton@kaiserhealth.org,TX28035,CA,24-05-2029,23,FALSE,FALSE,28-11-2021
DOC100066,2277901043,ET9861434,John,Williams,Dr. John Williams,Cardiology,Young-Robinson,84395 Young Wells,Lake Adriana,CA,54707,740-889-2687x0568,john.williams@kaiserhealth.org,FL65027,MI,26-03-2029,34,TRUE,FALSE,06-10-2022
DOC100067,2980893246,AV5396218,Kevin,White,Dr. Kevin White,Rheumatology,"Wells, Atkinson and Turner",0866 Paul Glens,West Deborah,NY,59455,(518)930-4699x013,kevin.white@kaiserhealth.org,NC81313,NC,20-05-2028,37,TRUE,FALSE,29-04-2024
DOC100068,2706540515,HX1952058,Kevin,Stout,Dr. Kevin Stout,Rheumatology,Giles Ltd,739 Randy Garden,Kimberlyfurt,CA,61613,-10469,kevin.stout@kaiserhealth.org,GA72722,TX,21-05-2031,13,TRUE,FALSE,23-03-2023
DOC100069,2043030548,NT7403450,Nathan,Gutierrez,Dr. Nathan Gutierrez,Oncology,"Shields, Figueroa and Smith",2353 Hudson Gardens Suite 854,Levyfort,IL,60902,(252)328-7280,nathan.gutierrez@kaiserhealth.org,NY58237,OH,22-12-2030,30,TRUE,FALSE,27-11-2021
DOC100070,2527758416,CP9284511,Kathy,Gutierrez,Dr. Kathy Gutierrez,Rheumatology,"Hall, Mann and Smith",0997 Smith Place Suite 008,Amandaport,IL,2747,862.311.8233x98454,kathy.gutierrez@kaiserhealth.org,IL68447,MI,30-01-2029,32,TRUE,FALSE,12-12-2024
DOC100071,2570596401,XW6582029,Stephen,Sanchez,Dr. Stephen Sanchez,Hematology,"Perez, Sutton and Abbott",66687 Dana Squares,North Vincent,CA,57374,+1-659-218-0339x7401,stephen.sanchez@kaiserhealth.org,TX18812,FL,04-04-2028,28,TRUE,FALSE,03-03-2024
DOC100072,1927557192,SM6543102,Alexis,Clark,Dr. Alexis Clark,Hematology,Goodwin Ltd,42939 Rhodes Plains Suite 621,Brianchester,CA,30928,959-999-6504,alexis.clark@kaiserhealth.org,OH83619,NY,19-06-2028,21,TRUE,FALSE,09-07-2024
DOC100073,2394731217,FY7155188,Angela,Bennett,Dr. Angela Bennett,Oncology,Frazier Ltd,94311 Moore Station Apt. 655,North Adamport,IL,58793,(341)221-2678x886,angela.bennett@kaiserhealth.org,TX93584,TX,17-11-2027,28,TRUE,FALSE,03-07-2024
DOC100074,1323705895,QT2911467,Angela,Carlson,Dr. Angela Carlson,Gastroenterology,Shields-Smith,1839 Gina Extension Apt. 444,Thomasburgh,OH,57474,964-371-5437x993,angela.carlson@kaiserhealth.org,OH85353,NY,27-01-2028,13,FALSE,FALSE,01-02-2024
DOC100075,1778528922,PS0182422,Adam,Foster,Dr. Adam Foster,Rheumatology,"James, Atkins and Alexander",924 Morrison Square Apt. 752,Novakport,FL,96822,001-479-235-6465x193,adam.foster@kaiserhealth.org,PA78012,IL,03-08-2030,10,TRUE,FALSE,03-06-2025
DOC100076,2249818299,EF9959001,Sherry,Clark,Dr. Sherry Clark,Oncology,Guerra-Jones,724 Johnny Drives Suite 617,Aguilarside,MI,66903,001-268-805-8911x352,sherry.clark@kaiserhealth.org,IL95344,FL,12-09-2030,31,TRUE,FALSE,25-04-2024
DOC100077,1784473647,CY0276773,Tammy,Jordan,Dr. Tammy Jordan,Oncology,Garcia and Sons,5679 Michael Burg,Garciachester,CA,11754,725-945-7387,tammy.jordan@kaiserhealth.org,TX50970,PA,29-11-2027,27,FALSE,FALSE,22-03-2025
DOC100078,1588153714,QH2104696,Jennifer,Chavez,Dr. Jennifer Chavez,Neurology,Evans Ltd,51238 Andrea Isle,Mullenbury,TX,53591,+1-522-566-0937x9660,jennifer.chavez@kaiserhealth.org,PA85718,PA,05-09-2028,17,TRUE,FALSE,10-01-2022
DOC100079,2877470168,QH3950047,Barbara,Lloyd,Dr. Barbara Lloyd,Nephrology,"Lopez, Nguyen and Ellis",785 Carr Radial Apt. 557,Port Emily,CA,39487,+1-891-825-1341x252,barbara.lloyd@kaiserhealth.org,IL80345,CA,12-01-2030,11,TRUE,FALSE,01-09-2022
DOC100080,2565060983,MT4168784,Bailey,Henderson,Dr. Bailey Henderson,Oncology,Reid-Steele,274 Jacob Ville,Harveystad,MI,1757,323.268.8767x6772,bailey.henderson@kaiserhealth.org,NY26864,NY,18-11-2030,30,TRUE,FALSE,16-05-2023
DOC100081,2852398680,BB2578729,Kelly,Hill,Dr. Kelly Hill,Oncology,"Roberts, Norman and Cunningham",819 Joseph Plains Suite 807,South Curtis,TX,86179,001-834-407-4517x13395,kelly.hill@kaiserhealth.org,PA90356,PA,12-02-2030,15,TRUE,FALSE,05-09-2022
DOC100082,2958887947,AM5169409,Kristen,Li,Dr. Kristen Li,Hematology,Hudson PLC,825 Roberts Grove Apt. 260,Michelleberg,IL,92438,(632)853-6729,kristen.li@kaiserhealth.org,MI85711,FL,02-02-2029,8,TRUE,FALSE,04-05-2025
DOC100083,1896230913,AQ5626368,Charles,Norton,Dr. Charles Norton,Oncology,Powell Ltd,577 Perkins Ways Apt. 751,Robinsonchester,CA,28268,345.945.8929x7500,charles.norton@kaiserhealth.org,CA28098,NC,26-07-2027,18,TRUE,FALSE,20-07-2022
DOC100084,2865278585,XX4973348,Sarah,Moore,Dr. Sarah Moore,Oncology,Smith-Rubio,242 Davis Lake,Christopherburgh,FL,7288,(943)261-1037x1293,sarah.moore@kaiserhealth.org,IL47880,FL,13-07-2027,36,TRUE,FALSE,01-06-2024
DOC100085,2844198665,EK0415747,Lisa,Mcneil,Dr. Lisa Mcneil,Neurology,Benson-Woods,1115 Ibarra Dam,Ayalaberg,FL,84593,+1-921-589-0927x53269,lisa.mcneil@kaiserhealth.org,NC45537,NC,12-11-2027,22,TRUE,FALSE,08-05-2022
DOC100086,1308330165,YR1208267,Donald,Martinez,Dr. Donald Martinez,Hematology,"Cruz, Richmond and Edwards",41389 Maxwell Spurs,Port Melanieport,FL,27429,398.236.4037x61379,donald.martinez@kaiserhealth.org,IL52096,IL,11-01-2029,8,FALSE,FALSE,09-03-2024
DOC100087,1938026206,RF4004991,David,Valencia,Dr. David Valencia,Oncology,"Fisher, Payne and Thompson",09104 Bill Circle Suite 848,Hendersonfurt,IL,11304,+1-788-892-4141x8328,david.valencia@kaiserhealth.org,GA94058,NC,27-12-2029,38,TRUE,FALSE,21-01-2022
DOC100088,1874315274,YF0549329,Kyle,Kim,Dr. Kyle Kim,Infectious Disease,Brown Medical Center,79904 David Station Apt. 027,Alexandraview,OH,22385,(324)910-5648x149,kyle.kim@kaiserhealth.org,NC52982,NY,07-06-2029,30,TRUE,FALSE,02-11-2025
DOC100089,1275304637,JL4990453,Michael,Porter,Dr. Michael Porter,Oncology,"Jackson, Moore and Ayala",80003 Thomas Lights,East Sarah,NY,5136,-7656,michael.porter@kaiserhealth.org,GA50213,TX,18-08-2029,30,TRUE,FALSE,10-12-2021
DOC100090,2145933272,QV5687833,Harry,Brock,Dr. Harry Brock,Oncology,Finley Medical Center,4518 Smith Flats Suite 949,South Micheal,CA,65166,001-838-632-0603x85050,harry.brock@kaiserhealth.org,NC68556,NC,09-12-2027,28,TRUE,FALSE,29-03-2023
DOC100091,1088398225,SQ1397187,Alyssa,Allen,Dr. Alyssa Allen,Oncology,Woodward-Kaufman,410 Phyllis Pike,Haynesstad,GA,60592,001-519-618-2619x9062,alyssa.allen@kaiserhealth.org,TX77272,OH,09-08-2028,34,TRUE,FALSE,04-03-2024
DOC100092,2406403910,PM1801704,Sara,Long,Dr. Sara Long,Infectious Disease,"Nguyen, Chavez and Hall",91212 Owens Lodge,New Michaelborough,TX,59734,574-711-2490x3521,sara.long@kaiserhealth.org,TX94085,OH,07-03-2029,28,FALSE,FALSE,11-11-2025
DOC100093,2766182512,TN8230047,Brandon,Evans,Dr. Brandon Evans,Oncology,Johnson Group,831 Garcia Underpass Apt. 100,East James,OH,53006,(719)394-1013x721,brandon.evans@kaiserhealth.org,NC59712,FL,05-09-2027,20,TRUE,FALSE,01-06-2025
DOC100094,1431069033,CD9079030,Brent,Glass,Dr. Brent Glass,Oncology,Underwood-Foster,6253 Joshua Mission,North Christina,GA,81369,847.468.7014,brent.glass@kaiserhealth.org,FL80747,FL,12-04-2029,8,TRUE,FALSE,11-03-2023
DOC100095,2395995342,XS3644089,Dawn,Robles,Dr. Dawn Robles,Endocrinology,Mccoy PLC,5787 Durham Parkway,Paulburgh,OH,3917,593-604-0785x93213,dawn.robles@kaiserhealth.org,NC74962,CA,07-10-2029,27,FALSE,FALSE,20-12-2021
DOC100096,2856624628,RH3427086,Kathryn,Gould,Dr. Kathryn Gould,Infectious Disease,"Bradford, Salinas and Kelly",39559 Jade Knoll,New Stacy,NC,65018,-1850,kathryn.gould@kaiserhealth.org,NC27575,OH,25-09-2029,20,TRUE,FALSE,24-07-2025
