patient_id,ssn,first_name,last_name,full_name,date_of_birth,age,gender,race,ethnicity,address,city,state,zip_code,phone,email,income_level,insurance_type,insurance_provider,diagnosis_code,diagnosis_description,is_eligible_for_pap,pap_enrollment_date,fraud_flag,created_at
PAT1000010,746-63-2664,David,Castro,David Castro,15-09-1997,85,M,Black,Hispanic,9141 Bryce Ferry,New Ericaside,CA,9704,(253)946-9485,david.castro@example.com,$25k-$50k,Private,"Jones, Bennett and Wheeler",C50,Malignant neoplasm of breast,TRUE,13-04-2025,FALSE,04-08-2023
PAT1000011,366-87-4617,Amanda,Logan,Amanda Logan,12-08-1998,77,F,Black,Hispanic,721 Miguel Overpass,New Luis,GA,62676,712.523.1258x25568,amanda.logan@example.com,$75k-$100k,Private,Medina-Fowler,J20,Acute bronchitis,FALSE,,FALSE,07-03-2022
PAT1000012,951-26-8152,Samuel,Martin,Samuel Martin,09-09-1968,72,M,Asian,Non-Hispanic,644 Julia Shores Suite 386,Port Daniel,NC,48096,401-749-3500,samuel.martin@example.com,$25k-$50k,Private,Meadows-Rivera,C05,Malignant neoplasm of palate,TRUE,29-04-2025,FALSE,15-03-2023
PAT1000013,730-29-4628,Sierra,Rogers,Sierra Rogers,04-05-1992,29,Other,Other,Hispanic,08733 Perez Trafficway,Maryside,TX,16477,569-565-5408x1466,sierra.rogers@example.com,$25k-$50k,Underinsured,,I11,Hypertensive heart disease,TRUE,06-10-2024,FALSE,30-05-2022
PAT1000014,680-98-3732,Rhonda,Johnson,Rhonda Johnson,07-09-1964,60,M,Native American,Hispanic,278 Erin Landing,New Kathrynmouth,OH,70550,+1-537-565-6710x711,rhonda.johnson@example.com,> $100k,Medicare,Gomez-Lester,J02,Acute pharyngitis,FALSE,,FALSE,05-06-2022
PAT1000015,338-87-8343,Diana,Snyder,Diana Snyder,13-05-1995,22,M,Black,Non-Hispanic,989 Alison Well,Jamestown,NC,9145,6625727643,diana.snyder@example.com,$25k-$50k,Underinsured,Hensley-Owen,I11,Hypertensive heart disease,TRUE,28-10-2024,FALSE,08-05-2023
PAT1000016,909-11-9171,Isabella,Hill,Isabella Hill,21-03-1984,77,M,White,Non-Hispanic,86038 Bender View,Burgesschester,IL,87168,(842)885-4006,isabella.hill@example.com,< $25k,Uninsured,Warren PLC,E10,Type 1 diabetes mellitus,TRUE,22-12-2025,FALSE,21-10-2024
PAT1000017,979-98-6459,Jerry,Barr,Jerry Barr,02-06-1963,79,M,Native American,Non-Hispanic,524 Warren Ridge Apt. 881,New Kathryn,NY,62313,001-891-997-0746x324,jerry.barr@example.com,$25k-$50k,Uninsured,"Thornton, Ellis and Wright",I11,Hypertensive heart disease,TRUE,27-03-2026,FALSE,02-02-2022
PAT1000018,526-83-8517,Wayne,Ellis,Wayne Ellis,25-11-1957,77,Other,Native American,Hispanic,19817 Sanchez Tunnel Apt. 484,Tiffanytown,GA,56259,445.965.7305x78574,wayne.ellis@example.com,$25k-$50k,Uninsured,Bell-Washington,J02,Acute pharyngitis,TRUE,,FALSE,09-07-2025
PAT1000019,786-88-1589,Edward,Baker,Edward Baker,01-12-1982,55,Other,Native American,Non-Hispanic,437 Pham Plaza Apt. 372,Edwardfort,OH,82303,615.359.3640x674,edward.baker@example.com,$25k-$50k,Uninsured,,I12,Hypertensive chronic kidney disease,TRUE,19-08-2025,FALSE,25-08-2025
PAT1000020,563-59-6498,Elizabeth,Alvarez,Elizabeth Alvarez,10-10-1935,49,M,White,Hispanic,0282 Fox Points Suite 291,West Tylerchester,PA,75766,(697)482-9381x992,elizabeth.alvarez@example.com,$25k-$50k,Uninsured,"Johnson, Hammond and Richard",E11,Type 2 diabetes mellitus,TRUE,02-04-2026,FALSE,10-02-2023
PAT1000021,549-33-5933,Sarah,Diaz,Sarah Diaz,08-03-1989,66,Other,Native American,Hispanic,24035 Vanessa Ville,East Rachel,CA,55829,904.489.1340,sarah.diaz@example.com,< $25k,Underinsured,Baker-Mccall,J06,Acute upper respiratory infections,TRUE,,FALSE,29-03-2026
PAT1000022,836-22-8108,Cassandra,Adams,Cassandra Adams,23-05-2001,83,M,Asian,Non-Hispanic,0409 Timothy Tunnel Suite 531,Andersenbury,NY,17497,001-262-553-9213x429,cassandra.adams@example.com,$25k-$50k,Private,"Charles, Spears and Johnson",C04,Malignant neoplasm of floor of mouth,TRUE,04-06-2026,FALSE,11-11-2024
PAT1000023,355-76-1831,Clinton,Thompson,Clinton Thompson,22-02-1971,80,F,White,Hispanic,390 Erin Lakes Apt. 669,East Andrewmouth,TX,92625,8183744607,clinton.thompson@example.com,$25k-$50k,Underinsured,Velazquez-Cooley,E10,Type 1 diabetes mellitus,TRUE,28-11-2025,FALSE,06-10-2023
PAT1000024,237-20-6473,Ryan,Ross,Ryan Ross,20-03-1976,50,F,Asian,Hispanic,291 Dudley Village Apt. 811,South Aprilport,CA,37054,846.730.1315x855,ryan.ross@example.com,< $25k,Medicare,Davis Inc,I50,Heart failure,TRUE,25-02-2025,FALSE,26-10-2023
PAT1000025,799-16-9942,Angela,Clark,Angela Clark,22-04-1941,88,Other,White,Non-Hispanic,3863 Wells Trail Suite 922,Kayleefurt,PA,81647,001-225-510-8520,angela.clark@example.com,< $25k,Uninsured,,I11,Hypertensive heart disease,TRUE,30-10-2024,FALSE,01-05-2026
PAT1000026,891-45-1378,Matthew,Burgess,Matthew Burgess,12-11-1992,79,Other,Native American,Non-Hispanic,136 Jessica Pines,Yangport,PA,91888,001-926-886-7435,matthew.burgess@example.com,$50k-$75k,Private,Cole LLC,J20,Acute bronchitis,FALSE,,FALSE,22-04-2024
PAT1000027,431-49-7539,Adam,Phillips,Adam Phillips,02-10-1950,83,Other,Other,Non-Hispanic,38277 Brock Haven Apt. 528,East Angelaland,GA,72223,+1-785-792-8771x109,adam.phillips@example.com,< $25k,Uninsured,,E13,Other specified diabetes mellitus,TRUE,21-08-2024,FALSE,25-08-2021
PAT1000028,925-14-6825,Tonya,Charles,Tonya Charles,18-06-1970,49,M,Black,Hispanic,35880 Thomas Ville Suite 105,West James,OH,34966,001-225-321-3812x58184,tonya.charles@example.com,> $100k,Underinsured,Ryan PLC,E13,Other specified diabetes mellitus,TRUE,13-06-2025,FALSE,26-11-2024
PAT1000029,425-96-7015,Jessica,Wilson,Jessica Wilson,18-03-2001,86,F,Hispanic,Hispanic,6489 Eric Locks Apt. 145,West Christineborough,PA,24777,685-833-3892x18165,jessica.wilson@example.com,> $100k,Medicare,Rodgers PLC,M54,Dorsalgia,FALSE,,FALSE,31-07-2023
PAT1000030,476-43-2591,Danny,Torres,Danny Torres,03-12-1957,55,Other,Asian,Non-Hispanic,577 Brown River Suite 203,Darrylport,PA,58917,(509)838-3170,danny.torres@example.com,$25k-$50k,Underinsured,Johnson Ltd,E10,Type 1 diabetes mellitus,TRUE,07-03-2026,FALSE,08-08-2022
PAT1000031,257-89-3430,James,Robinson,James Robinson,31-05-1965,69,M,Other,Non-Hispanic,62981 Kristi Bypass,Allenland,PA,87438,446-570-4765x2359,james.robinson@example.com,$25k-$50k,Uninsured,,I25,Chronic ischemic heart disease,TRUE,21-09-2025,FALSE,03-09-2023
PAT1000032,280-72-3358,Alicia,Taylor,Alicia Taylor,15-04-1962,84,M,White,Non-Hispanic,667 Garza Light,Michaelburgh,OH,92710,-3584,alicia.taylor@example.com,$75k-$100k,Private,Alexander LLC,J02,Acute pharyngitis,FALSE,,FALSE,06-12-2025
PAT1000033,967-42-1437,Jeffery,Wilson,Jeffery Wilson,18-10-1989,62,Other,White,Non-Hispanic,838 Mcpherson Common,East Jessica,MI,44160,867-752-2467x59399,jeffery.wilson@example.com,$75k-$100k,Private,Harper-Bond,J06,Acute upper respiratory infections,FALSE,,FALSE,08-03-2022
PAT1000034,640-52-9308,Michael,Lewis,Michael Lewis,15-12-1935,25,M,White,Non-Hispanic,3074 Larry Center,Lake Michelleport,FL,90209,8755639475,michael.lewis@example.com,$75k-$100k,Medicaid,"Austin, Bell and Mcdonald",J00,Acute nasopharyngitis,FALSE,,FALSE,21-02-2026
PAT1000035,881-46-2440,Kelly,King,Kelly King,18-12-1935,43,F,Black,Hispanic,6356 Ashley Ville,Jenniferfurt,PA,33132,809.711.0278,kelly.king@example.com,< $25k,Uninsured,Potts-Parrish,J02,Acute pharyngitis,TRUE,,FALSE,03-01-2026
PAT1000036,747-66-6941,Tyrone,Hall,Tyrone Hall,16-09-1970,20,M,Black,Non-Hispanic,608 Danielle Parkway,Rebeccachester,FL,2780,343.876.7368,tyrone.hall@example.com,$50k-$75k,Uninsured,,E11,Type 2 diabetes mellitus,TRUE,10-04-2026,FALSE,16-04-2025
PAT1000037,595-86-1219,Christopher,Elliott,Christopher Elliott,20-06-1963,19,Other,Other,Non-Hispanic,1514 Lynn Freeway,East Lisamouth,OH,57564,238-959-3736x762,christopher.elliott@example.com,< $25k,Uninsured,Long LLC,J20,Acute bronchitis,TRUE,,FALSE,05-09-2023
PAT1000038,865-66-6147,Adam,Suarez,Adam Suarez,06-09-1973,81,F,Native American,Hispanic,248 Miller Stravenue Suite 035,Powellmouth,NY,58829,2203786555,adam.suarez@example.com,> $100k,Medicare,Weber Group,J06,Acute upper respiratory infections,FALSE,,FALSE,02-10-2024
PAT1000039,961-50-9972,Marcus,Schneider,Marcus Schneider,21-07-1935,63,M,White,Non-Hispanic,9608 Richard Wall Apt. 387,Hoganstad,GA,45910,8469889687,marcus.schneider@example.com,$25k-$50k,Uninsured,"Barr, Hatfield and Watson",J20,Acute bronchitis,TRUE,,FALSE,17-02-2026
PAT1000040,178-23-9988,Judith,Lee,Judith Lee,08-07-1982,26,F,Native American,Hispanic,9481 Anthony Pass Apt. 035,Hansonville,PA,98322,273.539.2317x2044,judith.lee@example.com,< $25k,Medicaid,Howell and Sons,I50,Heart failure,TRUE,20-07-2025,FALSE,22-01-2024
PAT1000041,945-53-6906,Patrick,Moore,Patrick Moore,11-11-2004,54,F,Black,Non-Hispanic,98340 Simpson Ford,South Alyssa,TX,43039,509-758-9661x7923,patrick.moore@example.com,< $25k,Uninsured,Wells Inc,C02,Malignant neoplasm of other parts of tongue,TRUE,14-09-2025,FALSE,15-07-2021
PAT1000042,269-95-1358,Sarah,Perry,Sarah Perry,27-06-1953,62,F,Hispanic,Non-Hispanic,3028 Matthew Hills Apt. 322,Roblestown,MI,83696,001-977-796-6667x959,sarah.perry@example.com,< $25k,Uninsured,"Smith, Conrad and King",J20,Acute bronchitis,TRUE,,FALSE,21-05-2022
PAT1000043,484-86-4580,Michael,Mendoza,Michael Mendoza,08-12-1964,29,F,White,Hispanic,99506 Frances Shoal Suite 012,West Christopher,TX,55926,4425634307,michael.mendoza@example.com,$50k-$75k,Private,Nelson-Bryant,J02,Acute pharyngitis,FALSE,,FALSE,11-02-2024
PAT1000044,213-42-6652,Edward,Roberts,Edward Roberts,04-02-1971,80,Other,Black,Hispanic,6835 Miller Key Apt. 142,Marcmouth,TX,11040,+1-783-612-7519x384,edward.roberts@example.com,< $25k,Uninsured,,C50,Malignant neoplasm of breast,TRUE,22-11-2024,FALSE,30-07-2024
PAT1000045,114-14-1583,Linda,Gonzalez,Linda Gonzalez,27-07-1948,49,Other,Other,Hispanic,4871 Jose Bypass Suite 683,Lake Toni,CA,88945,001-387-763-5514x284,linda.gonzalez@example.com,$75k-$100k,Medicaid,Gilmore-Watson,J02,Acute pharyngitis,FALSE,,FALSE,14-09-2025
PAT1000046,158-15-9019,Jessica,Boyle,Jessica Boyle,09-08-1966,32,Other,Native American,Hispanic,378 Linda Centers,Frazierport,CA,33574,9082728272,jessica.boyle@example.com,< $25k,Underinsured,,C03,Malignant neoplasm of gum,TRUE,23-12-2025,FALSE,16-11-2022
PAT1000047,387-57-3282,Christina,Green,Christina Green,09-09-2005,30,Other,Hispanic,Hispanic,193 Calderon Crossing,Port Mirandaton,NY,39409,001-825-660-2418x27155,christina.green@example.com,$25k-$50k,Uninsured,"Taylor, Sanchez and Marsh",I48,Atrial fibrillation,TRUE,02-12-2025,FALSE,17-08-2024
PAT1000048,657-55-2992,James,Pittman,James Pittman,20-12-1961,81,F,Hispanic,Hispanic,71201 Miguel Spurs Apt. 383,Lake Trevorstad,GA,18553,+1-305-265-5040x655,james.pittman@example.com,> $100k,Medicare,"Neal, Harris and Sanders",J06,Acute upper respiratory infections,FALSE,,FALSE,21-06-2022
PAT1000049,354-41-9137,John,Sullivan,John Sullivan,25-03-1981,26,M,Asian,Non-Hispanic,493 Samuel Prairie,North Jason,NC,10126,-9695,john.sullivan@example.com,$50k-$75k,Uninsured,,I50,Heart failure,TRUE,13-04-2025,FALSE,31-10-2024
PAT1000050,777-77-4344,Megan,Bauer,Megan Bauer,25-09-1969,54,F,Other,Hispanic,136 Katie Mountains Suite 337,Garyville,TX,66730,519.526.2818,megan.bauer@example.com,$25k-$50k,Medicaid,"Morris, Horn and Torres",C07,Malignant neoplasm of parotid gland,TRUE,08-02-2026,FALSE,28-02-2022
PAT1000051,152-39-4652,Scott,Tapia,Scott Tapia,30-01-1958,84,Other,Native American,Non-Hispanic,75308 Brittany Knolls,East Connieton,NY,47770,(870)580-0701,scott.tapia@example.com,$50k-$75k,Underinsured,Griffin-Padilla,I12,Hypertensive chronic kidney disease,TRUE,26-06-2026,FALSE,10-06-2026
PAT1000052,807-96-9760,Brian,Clark,Brian Clark,30-08-1983,40,M,Asian,Hispanic,82252 Hampton Inlet Apt. 542,Leonmouth,CA,44772,(976)457-3192x6206,brian.clark@example.com,$25k-$50k,Private,Molina-Mcpherson,E14,Unspecified diabetes mellitus,TRUE,05-11-2024,FALSE,22-12-2024
PAT1000053,957-24-5074,Rachel,Miller,Rachel Miller,17-02-1979,77,Other,White,Hispanic,57712 Watts Center Suite 950,Alexanderfort,PA,10824,+1-733-535-5354x31719,rachel.miller@example.com,< $25k,Underinsured,Mckay-Mooney,E13,Other specified diabetes mellitus,TRUE,16-11-2024,FALSE,24-12-2023
PAT1000054,242-29-6339,Ronald,Fleming,Ronald Fleming,29-12-1963,81,F,Native American,Hispanic,418 Mark Pine,Garciaborough,TX,43000,7753731300,ronald.fleming@example.com,$25k-$50k,Private,"Roth, Lee and Gallagher",C04,Malignant neoplasm of floor of mouth,TRUE,27-12-2024,FALSE,15-09-2023
PAT1000055,647-37-9805,Megan,Robbins,Megan Robbins,20-10-1935,27,F,Asian,Non-Hispanic,5937 Haney Vista,East Juliefort,FL,7657,785.722.1023x428,megan.robbins@example.com,> $100k,Underinsured,"Garcia, Johnson and Leon",C00,Malignant neoplasm of lip,TRUE,29-11-2025,FALSE,01-08-2021
PAT1000056,391-69-1066,Miranda,Long,Miranda Long,03-04-1987,46,F,Asian,Non-Hispanic,47689 Richard Drive Suite 488,North Ryan,MI,93650,760-588-0980x4637,miranda.long@example.com,$50k-$75k,Medicaid,"Soto, Berg and Serrano",J06,Acute upper respiratory infections,FALSE,,FALSE,30-03-2023
PAT1000057,269-70-7374,Briana,Hill,Briana Hill,14-02-1986,83,F,White,Non-Hispanic,042 Megan Harbor Apt. 636,Williamsfort,FL,16595,+1-627-881-3703x6054,briana.hill@example.com,$25k-$50k,Medicaid,Rivera Group,C01,Malignant neoplasm of base of tongue,TRUE,12-02-2026,FALSE,11-06-2023
PAT1000058,763-87-4578,John,Barnett,John Barnett,09-04-1981,43,Other,Hispanic,Hispanic,65369 Jill Cove Apt. 310,Lake Natashaberg,PA,6241,(981)245-6456x156,john.barnett@example.com,> $100k,Underinsured,"Kirk, Wallace and Evans",C04,Malignant neoplasm of floor of mouth,TRUE,24-06-2026,FALSE,15-07-2024
PAT1000059,353-71-5888,Felicia,Smith,Felicia Smith,15-07-1996,55,Other,Black,Hispanic,28701 Megan Isle Suite 527,New Lisamouth,PA,62844,-3959,felicia.smith@example.com,< $25k,Underinsured,Butler Inc,J06,Acute upper respiratory infections,TRUE,,FALSE,29-11-2022
PAT1000060,822-86-7736,Sarah,Nelson,Sarah Nelson,19-10-1957,49,Other,Hispanic,Non-Hispanic,8183 Clark Lock Suite 801,New Jimview,CA,61697,(767)665-3699,sarah.nelson@example.com,< $25k,Uninsured,Fritz-Potts,E10,Type 1 diabetes mellitus,TRUE,24-11-2025,FALSE,18-06-2026
PAT1000061,934-69-3472,Justin,Perkins,Justin Perkins,04-11-1939,85,Other,Asian,Hispanic,65346 Cynthia Ports Suite 106,Fletchermouth,CA,74272,322-270-1576x6566,justin.perkins@example.com,$25k-$50k,Uninsured,,C06,Malignant neoplasm of other parts of mouth,TRUE,25-11-2025,FALSE,30-05-2026
PAT1000062,985-58-8803,Sarah,Martin,Sarah Martin,07-10-1981,60,F,Hispanic,Hispanic,4730 Schroeder Center,Port David,FL,95955,+1-373-485-7110x44311,sarah.martin@example.com,$50k-$75k,Medicare,Logan-Williams,J00,Acute nasopharyngitis,FALSE,,FALSE,01-04-2025
PAT1000063,886-44-5845,Craig,Stone,Craig Stone,30-04-1981,50,Other,Native American,Non-Hispanic,66864 Hill Place Apt. 238,Lake Antonio,TX,50895,743-808-0477x3290,craig.stone@example.com,$25k-$50k,Underinsured,Mitchell Group,E14,Unspecified diabetes mellitus,TRUE,27-04-2026,FALSE,18-08-2024
PAT1000064,291-29-6654,Justin,Brown,Justin Brown,27-05-2007,61,F,White,Hispanic,14747 Neal Rapids Apt. 227,Port Zacharybury,GA,4280,716-690-1605,justin.brown@example.com,< $25k,Underinsured,Chavez-Murray,J02,Acute pharyngitis,TRUE,,FALSE,10-11-2021
PAT1000065,503-75-7359,Antonio,Hall,Antonio Hall,23-09-2005,71,F,Hispanic,Hispanic,64670 Hill Extensions,North Alexandria,FL,44544,(643)674-6100,antonio.hall@example.com,$25k-$50k,Medicare,Munoz Ltd,I12,Hypertensive chronic kidney disease,TRUE,18-02-2025,FALSE,18-09-2023
PAT1000066,696-35-4228,Daniel,Garcia,Daniel Garcia,10-09-2006,53,F,Asian,Hispanic,58585 Wilson Corners,Jenniferview,MI,55472,(483)899-0437,daniel.garcia@example.com,< $25k,Uninsured,,C04,Malignant neoplasm of floor of mouth,TRUE,20-12-2024,FALSE,24-08-2021
PAT1000067,216-90-2628,Michael,Hester,Michael Hester,26-04-1957,73,F,Hispanic,Hispanic,2643 Anderson Parkways Apt. 145,Jasonside,CA,2025,(312)899-8856x5965,michael.hester@example.com,$50k-$75k,Medicaid,Smith-Dorsey,J06,Acute upper respiratory infections,FALSE,,FALSE,27-01-2024
PAT1000068,161-12-7016,Mark,Wilson,Mark Wilson,08-12-1992,85,F,Hispanic,Hispanic,21697 Cunningham Views,Lake Roger,NC,59106,001-668-561-3125x086,mark.wilson@example.com,$75k-$100k,Uninsured,,E10,Type 1 diabetes mellitus,TRUE,17-08-2025,FALSE,10-01-2023
PAT1000069,551-11-8197,Alexander,Swanson,Alexander Swanson,12-07-1952,23,Other,Asian,Non-Hispanic,3562 Daniel Rest Suite 244,West Troymouth,TX,96176,445-831-9687x28981,alexander.swanson@example.com,< $25k,Private,Perez-Humphrey,I48,Atrial fibrillation,TRUE,12-08-2024,FALSE,23-01-2025
PAT1000070,331-26-7982,Jason,Higgins,Jason Higgins,06-07-1966,32,M,Asian,Hispanic,58136 Brooks Course Apt. 410,North Alexistown,TX,17424,001-265-430-7880x73161,jason.higgins@example.com,$25k-$50k,Medicaid,Smith-Fletcher,E10,Type 1 diabetes mellitus,TRUE,10-09-2025,FALSE,28-07-2023
PAT1000071,310-78-9463,Jeanette,Ingram,Jeanette Ingram,29-08-1997,23,Other,Asian,Non-Hispanic,80092 Sean Prairie,West Jeffrey,NY,94192,001-456-750-9103x68808,jeanette.ingram@example.com,$50k-$75k,Uninsured,,E13,Other specified diabetes mellitus,TRUE,19-10-2025,FALSE,19-06-2024
PAT1000072,131-59-1524,Craig,Wilson,Craig Wilson,21-08-1964,62,F,Black,Non-Hispanic,00400 Shari Extensions,Port Robertborough,IL,95195,924.708.6890x7664,craig.wilson@example.com,$50k-$75k,Underinsured,"Phillips, Shaw and Mckenzie",E11,Type 2 diabetes mellitus,TRUE,26-09-2025,FALSE,13-03-2026
PAT1000073,571-83-7563,Douglas,Ewing,Douglas Ewing,29-06-1936,19,M,Native American,Hispanic,42583 Taylor Square,Stephenshire,GA,76554,209-671-8461,douglas.ewing@example.com,< $25k,Uninsured,Thomas LLC,M54,Dorsalgia,TRUE,,FALSE,11-10-2022
PAT1000074,664-51-2865,Connie,Anderson,Connie Anderson,13-12-1980,69,M,Hispanic,Non-Hispanic,325 Rachael Extension Apt. 974,Farleyview,MI,49204,(461)547-5682,connie.anderson@example.com,< $25k,Medicaid,"Russell, Kemp and Nguyen",E14,Unspecified diabetes mellitus,TRUE,29-05-2025,FALSE,06-02-2022
PAT1000075,304-92-4078,Amanda,Nelson,Amanda Nelson,08-07-1969,69,M,Black,Non-Hispanic,0998 Robert Skyway Apt. 180,Mallorystad,GA,51896,371-285-7344x040,amanda.nelson@example.com,$25k-$50k,Uninsured,,E11,Type 2 diabetes mellitus,TRUE,20-05-2026,FALSE,02-05-2026
PAT1000076,556-75-9071,Sarah,Brown,Sarah Brown,01-02-1937,85,F,Black,Non-Hispanic,58096 Hawkins Turnpike,Krystalshire,IL,60456,587.399.5814x04589,sarah.brown@example.com,$25k-$50k,Underinsured,Alvarado-White,J00,Acute nasopharyngitis,TRUE,,FALSE,24-05-2026
PAT1000077,684-66-6546,Jesse,Farmer,Jesse Farmer,01-08-1982,48,Other,Other,Non-Hispanic,11955 Aaron Island,Brownport,FL,49566,+1-894-234-2769x481,jesse.farmer@example.com,> $100k,Medicare,"Swanson, Bailey and Franklin",J02,Acute pharyngitis,FALSE,,FALSE,22-11-2025
PAT1000078,538-53-7635,Jacqueline,Allen,Jacqueline Allen,05-11-1964,48,M,White,Hispanic,8911 Courtney Streets,Figueroashire,FL,63389,(430)343-0392x857,jacqueline.allen@example.com,$25k-$50k,Underinsured,Michael-Barnes,J06,Acute upper respiratory infections,TRUE,,FALSE,28-05-2026
PAT1000079,491-77-6866,Jeremy,Black,Jeremy Black,11-02-1982,41,Other,Native American,Hispanic,21703 Raymond Skyway,Meyerton,GA,12133,740.755.9430x6449,jeremy.black@example.com,$50k-$75k,Medicare,Webb Ltd,J00,Acute nasopharyngitis,FALSE,,FALSE,01-08-2025
PAT1000080,233-47-9225,Jesse,Mcgee,Jesse Mcgee,15-05-1963,61,Other,Hispanic,Hispanic,5418 Megan Plains,Stacyhaven,PA,4205,908.426.7070x619,jesse.mcgee@example.com,$25k-$50k,Uninsured,,C07,Malignant neoplasm of parotid gland,TRUE,20-01-2025,FALSE,13-11-2022
PAT1000081,318-90-5593,Robert,Jones,Robert Jones,14-12-1949,40,Other,Native American,Non-Hispanic,7281 Sarah River Apt. 480,Boydmouth,IL,75520,001-738-308-2464x1318,robert.jones@example.com,< $25k,Medicaid,Martin Inc,C03,Malignant neoplasm of gum,TRUE,26-06-2025,FALSE,24-12-2024
PAT1000082,987-15-4482,Shannon,Phillips,Shannon Phillips,15-10-1938,26,Other,Asian,Hispanic,548 David Motorway Apt. 894,New Brianchester,GA,22708,+1-796-495-3820x780,shannon.phillips@example.com,$75k-$100k,Medicaid,"Juarez, Hunter and Hale",J02,Acute pharyngitis,FALSE,,FALSE,10-11-2021
PAT1000083,177-52-8042,Kelly,Shaffer,Kelly Shaffer,15-05-1947,49,F,Hispanic,Non-Hispanic,62535 Teresa Turnpike,South Johnnyhaven,TX,6487,249.703.3177,kelly.shaffer@example.com,$50k-$75k,Underinsured,Kaiser Ltd,E13,Other specified diabetes mellitus,TRUE,03-01-2026,FALSE,02-09-2021
PAT1000084,638-89-9616,Fred,Graham,Fred Graham,20-06-1996,67,Other,Black,Non-Hispanic,8544 Angela Lake,West Brian,OH,29860,664.324.9853x413,fred.graham@example.com,< $25k,Uninsured,"Rowe, Peters and Hardy",C03,Malignant neoplasm of gum,TRUE,09-09-2024,FALSE,29-03-2025
PAT1000085,953-50-3504,David,Morse,David Morse,08-01-1973,80,F,Asian,Non-Hispanic,833 Prince Knolls,South Joseph,NY,61979,9919777906,david.morse@example.com,> $100k,Uninsured,,I21,Acute myocardial infarction,TRUE,14-04-2025,FALSE,16-05-2023
PAT1000086,585-32-7502,Christopher,Smith,Christopher Smith,15-06-1969,77,Other,Black,Non-Hispanic,32310 Kelly Union Apt. 907,Port William,NY,51494,(601)603-2017x34690,christopher.smith@example.com,$25k-$50k,Private,Riggs-Weaver,C02,Malignant neoplasm of other parts of tongue,TRUE,01-06-2026,FALSE,24-01-2023
